"name","group","element","units","context","S538698","S538701","S538699","S538700","S538707","S538702","S538704","S538706","S538703","S538705","S538708","S538711","S538710","S538709","S538712","S538713","S538714","S538715","S538716","S538717","S538718","S538719","S538720","S538725","S538721","S538723","S538722","S538726","S538724","S538727","S538728","S538729","S538730","S538731","S538732","S538733","S538734","S538736","S538741","S538737","S538739","S538735","S538740","S538738","S538742","S538743","S538745","S538744","S538746","S538747","S538748","S538751","S538752","S538750","S538749","S538753","S538754","S538755","S538756","S538757","S538758","S538759","S538760","S538761","S538762","S538765","S538763","S538764","S538766","S538767","S538769","S538768","S538772","S538770","S538771","S538775","S538773","S538774","S538776","S538777","S538778","S538779","S538780","S538782","S538781","S538783","S538786","S538784","S538785","S538789","S538787","S538788","S538790","S538791","S538792","S538793","S538794","S538795","S538797","S538796","S538798","S538801","S538799","S538800","S538802","S538803","S538804","S538806","S538805"
Afraegle,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alchornea,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,2,22,2,6,1,5,1,7,4,6,11,16,24,10,9,15,8,10,12,11,29,22,29,31,20,31,22,37,17,12,11,17,17,9,1,6,2,7,9,13,24,14,18,29,18,39,28,24,37,23,18,23,24,36,42,9,6,2,1,2,,3,4,3,3,,,
Allophylus,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Amaranthaceae,UPHE,pollen,NISP,,1,5,9,4,3,5,7,6,10,5,12,7,3,7,4,2,4,5,5,4,4,6,2,3,6,4,,3,5,9,16,9,12,10,9,6,9,6,6,12,10,6,9,8,9,16,12,7,5,12,6,2,7,3,7,7,5,2,1,1,3,5,1,1,2,2,2,1,3,1,,1,,3,,2,4,2,,1,,2,,2,2,2,2,1,5,4,1,,4,6,5,4,6,4,11,2,8,6,4,7,3,3,8,4,17
Annonaceae,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antidesma,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,,,,4,5,,3,,,,,,,,,,,,,,,
Apiaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apocynaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artemisia,UPHE,pollen,NISP,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,,,1,,1,1,1,2,,,1,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,1,1,1,,
Asteroideae,UPHE,pollen,NISP,,2,1,1,,,,2,,,,2,3,2,,,,1,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,1,,,1,1,2,1,,,,,,1,2,,1,1,2,4,,1,3,,2,,,,,2,,,2,,,,,1,,,2,1,,1,2,,,2,6,1,3,6,9,9,11,7,2,5,,1,1,1,,,2,16
Balanites,TRSH,pollen,NISP,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,1,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Betula,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bombax,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borassus/Hyphaene,PALM,pollen,NISP,,13,15,9,4,7,10,7,10,10,3,11,4,3,4,3,3,2,3,6,3,1,2,4,5,2,2,4,6,2,,1,1,2,2,,,,2,3,,,1,,,,,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,11,,,,,,
Brassicaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,2,,,2,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Caesalpinioideae undiff.,TRSH,pollen,NISP,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capparaceae undiff.,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Capparis,TRSH,pollen,NISP,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,
Cassia,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,3,1,,2,2,,,,1,,,,,,,,,,,,,,1,1,,,,,,1,,1,1,,2,1,,,,,,,,,,,,,,,,,,,
Celtis,TRSH,pollen,NISP,,,,,,,1,,,,,,1,,,1,,,1,,,,,,,,,,,,1,1,,,,,,1,1,,1,,1,1,,1,4,1,5,3,6,5,2,9,9,6,4,5,4,1,3,2,2,3,,1,3,,,,3,8,3,7,1,4,6,4,2,1,2,1,5,4,2,1,3,1,1,1,1,1,2,3,2,5,4,3,5,1,2,3,3,2,6,5,7,3,3,1
Chrozophora,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,2,,,,1,,,,1,,1,
Cichorieae,UPHE,pollen,NISP,,1,,1,,,,1,,,,1,,,,1,,2,,,,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cissampelos cf. C. mucronata,TRSH,pollen,NISP,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,1,,1,,,,,,2,,1,,,2,,1,,,,,2,1,,1,,1,,,,1,,,,,,,,1,,,1,1,,2,1,,,,,,,1,,1,2,,,,4,1,2,1,2,2,1,2,2,,1,,,5,4,1,,2,4,,
Clematis,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Combretaceae,TRSH,pollen,NISP,,,,,,,,2,1,2,1,2,,,2,,,,1,1,1,,1,2,3,,2,,,,3,5,1,2,4,2,7,4,7,6,11,6,5,3,10,9,14,6,10,1,7,5,9,9,17,4,14,11,8,2,5,11,,8,3,6,9,4,10,9,7,16,6,8,12,10,4,10,5,9,1,4,7,2,3,6,5,,2,3,1,1,5,2,5,1,4,3,,,,1,1,,1,3,,,1,1
Commelinaceae,UPHE,pollen,NISP,,,1,,,1,,,,,,,,,3,,1,,,,1,,,2,,3,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commiphora,TRSH,pollen,NISP,,,1,,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corylus,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Cucurbitaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyperaceae,UPHE,pollen,NISP,,158,125,155,190,144,172,178,159,168,163,322,167,168,147,201,185,197,171,171,159,160,199,159,150,165,137,131,209,172,147,158,93,102,159,127,118,87,89,111,93,89,65,85,71,84,75,96,63,74,98,125,117,134,125,110,99,110,149,132,105,80,131,88,93,81,77,77,91,86,61,72,33,58,67,58,62,52,68,61,72,39,54,52,61,81,67,76,85,85,82,91,88,78,61,89,70,71,87,92,95,70,102,211,112,81,104,89,95,104
Detarium,TRSH,pollen,NISP,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,,4,1,3,1,5,11,12,11,14,11,2,8,2,,1,3,1,4,9,8,4,2,3,3,2,5,2,1,5,4,1,2,4,6,1,1,2,3,4,6,9,,,,,,,2,1,,,,1,1,,,,,,4,,,,
Diospyros,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Elaeis guineensis,PALM,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,1,1,,,,,,,,,,,2,2,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,
Ephedra,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,3,4,6,6,1,2,2,1,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,,,1,
Ericaceae,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euphorbiaceae undiff.,UPHE,pollen,NISP,,,,,,,,1,,2,1,,2,,,,,,,,,,,,,,,,,,2,,,,,,1,,,1,1,,,,,,2,,1,,1,1,1,2,4,,1,3,1,2,2,1,,,1,,2,,,1,1,,1,2,,1,,,2,1,,,3,1,,,,,2,1,,,1,2,1,,,,,2,1,,2,1,1,,1,,,1
Fabaceae undiff.,UPHE,pollen,NISP,,,,1,,,,1,,1,1,,1,,,,,,1,,,,2,3,,2,,,,,,,,1,,2,,,1,2,,,1,,2,3,,2,,2,2,,,,1,2,1,1,1,,1,,1,,1,,3,,4,2,2,,,2,2,,1,1,1,1,1,3,2,,,1,1,,,,,,,,,,1,,1,3,1,,1,,2,1,1,,1,1
Ficus,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grewia,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heliotropium,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hymenocardia,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,1,,4,,,2,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Indigofera,TRSH,pollen,NISP,,,,1,,,,,,,,,,1,1,,1,,,1,1,,,,,,,,,1,,,1,2,,1,,,,,1,1,,,1,,,,1,2,,,,,,,,1,,,,,,1,2,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,2,,,1,1,,1,2,1,,
Ipomoea,UPHE,pollen,NISP,,,,,,,,1,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irvingiaceae,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,3,,,,2,,1,1,,2,,1,2,,1,,2,3,,,,,,,,,,,,1,,,,2,2,,,1,,,,,,,1,2,,,1,,,,,,1,1,1,,1,,,,,,,,,,,,,
Khaya,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,1,,1,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Kohautia,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,1,,,,,,,,,,,
Lamiaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,2,,,,,,1,,1,,,,,,1,,1,,,,,,,,,,,,,1,,1,1,2,4,,1,1,,,1,,,1,,1,1,,,,2,,,1,,,,,,,,,,,,,,,1,,,2,,,,2,,,,,,,,,,,,,,,,
Lannea/Sclerocarya,TRSH,pollen,NISP,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,,2,1,1,,1,,1,1,,1,,,,,,,,,1,,1,,,1,1,,,1,,1,,,,,,,1,1,,,,,,,,1,,,1,,1,,,1,1,,1,,
Laurembergia,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,3,,1,,,1,2,,3,3,,1,2,4,7,,,1,3,4,1,2,4,,5,1,1,3,4,5,2,1,2,3,4,,3,6,2,5,18,5,9,2,4,1,3,1,2,1,2,2,,,
Liliaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,3,1,,1,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Lythraceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macaranga,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,2,,1,,,,,,1,,,1,,,1,,1,,,,,,,,,1,,,,,,
Malvaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Menispermaceae undiff.,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,1,1,,,1,3,2,3,,2,1,2,,,1,,3,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,1,,,,,,,,
Mimosa pigra,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitracarpus scaber,UPHE,pollen,NISP,,,,,1,,,,,,,1,,,,,,,,,,,,1,,,,,,1,4,,,3,,,3,1,,1,,,1,,,,,1,,1,9,5,18,13,16,9,1,4,5,3,2,,3,5,3,3,1,2,,5,3,,,,1,,,1,1,,,,,1,1,1,3,5,6,3,3,4,3,1,3,6,6,9,3,1,3,5,5,3,5,3,4,,,
Mitragyna,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Monoletes,PTER,spore,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,1,,1,1,3,,,3,,3,3,1,4,3,4,2,2,1,,1,1,,,1,3,7,2,3,6,2,7,8,,3,2,3,3,2,2,1,4,1,2,1,,2,4,2,,1,,3,1,1,1,1
Moraceae undiff.,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,
Morelia senegalensis,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,2,2,1,1,1,,,,1,1,1,,1,,2,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nymphaeaceae,AQVP,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,1,4,1,7,11,5,4,1,3,2,3,,,,,,1,,1,1,,,1,2,2,1,1,1,,2,1,3,,,,1,1,3,,1,1,3,1,,1,1,,,,,,2,1,,,,,,,,1
Olea,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,,,,1,,,,,4,,,,,,,2,,,,,,,2,1,,,,,4,1,4,6,5,4,5,2,1,2,5,6,,,1,,3,3,2,1,2,,,1,
Phoenix,PALM,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,
Phyllanthus reticulatus-type,TRSH,pollen,NISP,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyllanthus undiff.,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,1,1,,1,,,1,,2,,2,1,2,,5,3,6,2,,,,,,,3,1,,,,,,1,,1,,1,1,,,
Piliostigma,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,,,1,1,
Pinus,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poaceae,UPHE,pollen,NISP,,148,192,214,214,304,280,279,272,287,266,555,261,273,287,290,267,226,285,256,278,275,225,285,275,268,290,407,304,310,369,336,399,380,316,365,371,396,431,343,400,405,436,381,444,402,390,368,398,421,412,386,361,307,304,334,373,419,354,353,419,383,339,391,369,401,392,377,382,345,399,374,276,383,381,400,420,410,403,396,402,419,388,420,383,351,350,368,348,356,378,354,380,374,393,341,352,383,383,398,413,400,376,268,380,394,395,407,414,381
Podocarpus,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,1,,,1,,1,,,,,,,,
Polycarpaea,UPHE,pollen,NISP,,,,,,,1,,,,,2,,,1,,2,,,1,1,,,,1,,2,,,,,2,,1,1,,,,,1,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Polygonum cf. Persicaria senegalensis,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
