Sample ID;Calibrated radiocarbon years BP;Acacia;Acalypha cf. A. crenata;Acanthaceae;Adansonia digitata;Adenia;Adina;Afraegle;Afzelia cf. A. africana;Alchornea;Allophylus;Amaranthaceae;Anacardiaceae;Annonaceae;Antidesma;Apiaceae;Apocynaceae;Araliaceae;Arecaceae;Artemisia;Asteraceae;Balanites;Blepharis;Blighia;Bombax;Boraginaceae;Borassus/Hyphaene;Boswellia;Brassicaceae;Bridelia;Burkea africana;Butyrospermum;Caesalpinioideae;Capparaceae;Caryophyllaceae;Cassia;Celastraceae;Celtis;Centaurea;Chrozophora;Cissampelos cf. C. mucronata;Cissus;Clematis;Clerodendrum;Cochlospermum;Cola cf. C. cordifolia;Combretaceae;Commelinaceae;Commiphora;Convolvulaceae;Corchorus;Cordia;Crossopteryx febrifuga;Croton;Cucumis;Cucurbitaceae;Cussonia;Detarium;Diospyros;Dombeya cf. D. buetnerii;Elaeis guineensis;Elaeis guineensis;Ephedra;Ericaceae;Erythrina;Euphorbiaceae;Faboideae;Ficus;Grewia;Heliotropium;Hymenocardia;Indigofera;Ipomoea;Irvingiaceae;Isoberlinia;Ixora;Justicia;Khaya;Kohautia;Lamiaceae;Lannea/Sclerocarya;Liliaceae;Lobelia;Lophira;Lythraceae;Macaranga;Maerua;Mallotus;Malvaceae;Manilkara;Menispermaceae;Mitracarpus hirtus;Mitragyna;Monocotyledoneae;Monotes lutambensis;Moraceae;Morelia senegalensis;Mussaenda;Nauclea;Olea capensis subsp. hochstetteri;Parkia;Paullinia pinnata;Persicaria cf. P. senegalensis;Phoenix cf. P. reclinata;Phyllanthus;Piliostigma;Pinus;Poaceae;Podocarpus;Polycarpaea;Polygonaceae;Prosopis;Pterocarpus;Raphia;Rhus;Rubiaceae;Rutaceae;Salix cf. S. ledermanii;Salvadora;Sapindaceae;Securinega virosa;Solanum;Spermacoce;Sterculia;Strychnos;Syzygium;Tacazzea apiculata;Talinum;Tapinanthus;Thunbergia;Thymelaeaceae;Trema orientalis;Uapaca;Urticaceae;Vernonia;Vitaceae;Vitex;Ximenia americana;Ziziphus;cf. Dialium;cf. Scrophulariaceae
478870;1278;;2;;;;;;;1;;15;;;;;;;;;7;;;;2;;2;;;1;;3;;;;1;;3;;1;;;;;;;6;;;;;;1;;;;;;;;;1;;;;;1;1;1;;1;;;;1;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;699;;;;;;;;;;;;;1;;1;;;;;1;;;;;;;;;;;;;
478871;1338.7;;;1;;;;;;;;11;;3;;;;;;;14;;;;;;;;;;;;;1;;;;2;;;;;;;;;10;;1;;;;;;;;;;;;;1;;;;3;3;1;;;1;;;;1;;;1;1;1;3;;;;;;;;;;;2;;;;1;;;1;;;;;;;;;543;;;;;;;;;;;;;5;;;;;;;;;;;2;;;;;;;;;
478872;1386.3;1;;;;;;;;;;15;;;;;;;;;8;1;;;;;;;;;1;;1;;;;;4;;;1;;;;;;9;;;;1;;;;;;;;2;;1;1;;;;1;1;1;;;4;;;;;;;;;;2;1;;;;;;;;;;;;;;;;;1;;1;;;1;;;;668;;1;;;;;;1;;;;;2;;;;;;;;;;;2;;;;;;;;1;1
478873;1436.5;1;;1;;;;;;;;10;;;;;;;;;7;1;1;;;;;1;;;;3;;;;1;;1;;;;1;;;;;10;;1;;;;;;;;;;;;;;;;;;1;;;;3;;;;1;;;;1;;7;1;;;;;;;;;;;;;;;;;1;;;;;;;;;680;;;1;;;;;;;;1;;1;;;;;1;;;;;;1;;;;;;;;;
478874;1493.1;1;;;;;;;;;;6;;;;;;;;;9;1;;;;;1;;;;;;;;;;;3;;;;2;;;2;;11;;;;;;1;;;;;;1;;;;;;;2;1;;;;4;;;;2;;;;;;4;;;;;1;;1;;;;;;;;;;;2;;;1;;;;;;814;;2;;;;;;1;;;;;3;;1;;;;;;;;;;;;2;1;;1;;;1
478875;1540.7;2;;;;;;;;3;;5;;;;;1;;;;9;1;;;;;;;;;;;1;;;1;;1;;;;2;;;;;7;;1;;;;1;;;;;;;;;;;;;2;1;;;1;2;;;;;;;;;;5;;;;;2;;2;;;;1;;;;;;;1;;;1;;;;;;635;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;;;;;;
478876;1588.4;1;1;;;;;;;;;15;;;;;;;;;10;;;;1;;2;;;;;1;;;;;;;;;;;1;;;;11;;;;;;;;;;;;;;;1;;;;6;1;;;;3;;;;1;;;;2;1;12;1;;;;;;;;;;1;;1;1;;;;4;;;;;1;;;;732;;;;;;;;;;;1;1;4;;1;;;;;;;;;;;;;3;;;;;1
478877;1636;;;1;;;;;;;;16;;;;;;;;;5;1;;;;;1;;;2;1;4;1;;;;;3;;;;1;;;;;6;;2;;;;;;;;;;;;1;;;;;;6;;;;4;;;;2;;;;;;8;;;;;2;;1;;;;;;;;;;;3;1;;1;;;;;;793;1;;;;;;;;;;;;2;;;;;;;;;;;;;;;1;;;;;
478878;1685.9;1;;;;;;;;;;19;;;;;;;;;3;;;;;;1;;;1;1;;;;;1;;3;;;;;;;;;8;;1;;;1;;;;;;1;;;;;;;;4;1;1;;;7;;;;4;;1;;1;;5;;;;;;;;;;;1;;;;;;;2;;;;;;;;;741;;;;;;;1;;;;;;2;;;;;;;;;;;1;;;;;;1;;;
478879;1731.2;1;2;;;;;;;;;12;;;;;;;1;;6;;;;1;;;;;;1;1;;;;;;4;;;;;1;;;;10;;;;;;1;;;;;;;;;;;;;;2;;1;;2;1;;;1;;;;;;9;;;;;;;;;;;1;;;;;;;;;;;;;;;;615;;;;;;;;;;;;;2;;;;;;;;;;;;1;;;;;;;;
478880;1781.1;;1;1;;;;;;;;11;;;;;;;;;9;;;;;;1;;;;;1;;;;;;5;;;1;;1;;2;;12;;;;;;1;;;;;;;;;;;;1;2;4;1;;;;;;;;;;1;1;;21;;;;;;;;;;1;;;;;1;;;2;;;;;;;;;851;;;;;;;;;;;;;2;;;;;;;;;;;2;2;;;;;1;;;2
478881;1828.5;;;;;;;;;;;5;;;;;;;;;10;;;;;;;;;;;;1;;;2;;1;;;;;;;;;10;;;;;;;;;;;;;;;;;;;1;3;;;;1;;;;;;1;;;;1;;;;1;1;;;;;;1;;2;;1;;;;2;;;;;;;;826;;;1;;;;;;;;;;1;;;;;;;;;;;1;;2;;;;;;;1
478882;1875.9;;1;;;;;;;;;16;;1;;;;;;;6;;;;;;;;1;1;;;1;1;;1;;3;;;;;;;1;;8;;;;;;;;;;;;;;;;;;;;2;2;;;1;;;;;;;;;;2;;;;;;3;;;;;3;;;;;;;;;;;;;;;;891;;;;;;;;;;;;;3;1;;;;;;;;;;;;;;;;;;;3
478883;1925.5;;1;;;;;;;;;16;;1;;;;;;1;11;;;;2;;;;;;;;1;1;;;;2;;;;1;;;;;10;;;;;;;;;1;;;1;;;;;;;1;4;;;;1;;;;;;;;;1;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;708;1;1;;;;;;;;;;;2;;1;;;;;;;;;;;1;;;;;;;
478884;1984.1;;1;;;;;;;;;8;;1;;;;;;;10;;;;;;;;1;;2;;;;2;1;;2;;;;;1;;;;3;;;1;;;;;;;;;1;;2;;;;;1;6;1;;;;1;;;1;;;;;;2;1;;;;1;;1;;;1;;;;;;;;1;;;;;;;;;746;;;;;;;;1;;;;;2;;;;;;;;;;;;;;;;;1;;1;1
478885;2033.7;;2;;;;;;;1;;8;;;;;;;;;12;;;;1;;;;;;;;1;;;1;;6;;4;;;;;;;4;1;;;;;;;;;;;;;;;;;;1;5;;;;;2;;;;;2;;1;1;3;;;1;;;;;;;;3;;;;;;;;;;;;;;;;747;1;;;;;;;;;;;;4;;1;;;;;;;;;;;;;;;;;;
478886;2083.3;;2;;;;;;;1;;10;;1;;;;;;;13;;;;;;;;;1;;;;;;1;;6;;;;1;;;;;14;;;;;;;;;;1;;1;;;;;;;;1;2;;;2;;;;1;;1;;;;4;;;;;;;;;;;2;;;;;;;1;;;1;;;;;;686;;;1;;;;;2;;;;;1;;1;;;;;;;;;;;1;;;;;;1;
478887;2130.6;1;;;;;;;;;;5;;;;;;;;;14;;;;;1;;;1;2;;;;;;3;;3;;;;2;;;;;6;;;;;;1;;;;;1;;;;;1;;;4;2;;;;2;;;;1;;;1;;;4;;;;;;;;;;2;4;;;;;;;;;1;;;;;;;746;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
478888;2180.2;;1;;;;;;;;;8;;;;;;;;;14;;;;;;;;;1;;;2;;;1;;3;;;;;1;;;;9;;2;;;;;;;;;;1;;;;;;;;;;1;;1;;;;2;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;728;;;;;;;;;;;;;3;;;;;;;;;;;;;;1;;;1;;;
478890;2229.8;1;2;;;;;;;1;;9;;;;1;;;;1;6;3;;;;;1;;;;;1;1;;;;;6;;;;;;;;;3;1;;;;;;;;;;;;;;;;;;;2;;;;3;1;;;;;3;1;;;2;;;;;;;;;;;2;;;;;;;;;;;;;;;;730;;1;1;;;;;;;;;;8;;;;;;;;;;;1;;;;;;;;;
478889;2279.4;;;;;;;;;;;1;;;;;;;;;4;2;;;;;;;;;;;;;;;;2;;;;1;;;;;7;;;;;;1;;;;;;1;;;;;;;2;1;3;;;1;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;1;;;;;;;;673;;;;;;;;;;;;;1;;;;;;;;1;;;;;;;;1;;;;2
478891;2361.4;;3;;;;;;;1;;6;;1;;;;;;;2;;;;;;;1;;;;2;;1;;;;8;;;1;;;;;;13;;;;;;2;;;;1;1;;;;;;;;1;3;3;;;2;;;;;;;;;;3;1;;1;1;;;;;;;;1;2;;;1;;;;;;;;;;;741;;;;;;;;;;;2;;1;;;;;2;;;;;;1;;3;;;;;;1;
478892;2519.8;;;;;;1;;;1;;11;;1;;;;;;1;13;;;;;;;;;2;2;;;;;;;;;1;;;;;;;10;;;;;;;;;;2;;;;1;;;;;2;2;;;;;;;;;;;;;1;6;;;;;;;;;;;1;;;1;;;;1;;;;2;;;;;786;;;;;;;;2;;;1;;3;;;;;;;;;;;;1;1;;;;;;1;
478893;2671.1;;6;;;;;;;;;10;;1;;;;;;;15;;;;1;;;;;1;;2;;;;;;6;;;;4;;;;;20;;;;;;2;;;;;1;2;;1;;;;;;2;6;;;3;1;;;1;;;1;;1;12;;;;;;;3;;;;1;;;2;;1;;2;;;;;;;;;552;1;;1;;;;;;;;;;1;;3;;;1;;;;;;;1;;;;;;;1;3
478894;2793.5;;4;1;;;;;;;;5;;;;;;;;;7;;;;;;1;1;1;1;3;2;;;;;;10;;;;;;;;;10;1;;;;;1;;;;1;;;;1;;;;;;1;;;;1;;;;2;1;;;;;16;2;;;;;;;;;;4;;;1;1;;;2;;;;;;;1;;695;;;;;;;;;;;;;1;;3;;;2;;;;;;;;;;;;;;1;4
478895;2980.8;1;8;;;;;;;2;;9;;;;;;;;;3;;;;;;;;1;;1;1;;;;;;13;;1;;;;;;;19;;;;;;;;;;1;;;;1;;;;;;1;7;1;;1;;;;2;;;2;;1;7;;;;;;;;;1;;2;;;;;;;2;;;;;;;;;678;;;;;;;;1;;;;;3;;2;;;;;;;;;;;1;1;;;1;;;5
478896;3110.4;;5;2;;;;;;3;;10;;;;;;;;;7;;;;;;;;;1;1;;1;;;3;;8;;;;;1;;;;23;;;;;;2;;;;;;3;;;;;;;2;4;8;;;2;5;;;1;1;;1;;;3;;;;;1;;;;;;;2;;3;;;;1;1;;;;;;;;561;;;;;;;;2;;;;;;;1;;;2;;;;;;;;;;;;;;1;3
478897;3225.7;2;4;;;;;;;6;;6;;;;;;;;;5;;;;;;1;2;;;;2;;;;1;;16;;;1;;;;;;14;1;;;;;1;;;;1;;;;;;;;;;3;3;;;4;;;;1;;;;;1;12;;;;;;;;;;;2;;;7;;;;2;;;;;1;;;;660;2;;;;;;;;;;;;3;;;;;2;;;;;;;1;;;;;;;1;2
478898;3413;2;8;;;;;;;2;;12;;;;;;;;;3;;;;;;;3;;;1;3;;;;6;;25;;;;;;;;;19;;;;;;;;;;;1;;;;;;;;1;3;;;;3;;;;5;;;2;;;8;;;;;2;;;;;;;;3;3;;;;2;1;;1;;1;;;;728;;;;;;;;1;;;1;;2;;2;;;1;;;;;;2;1;;;;;;;;4
478899;3665.4;;8;2;;;;;;1;;7;;;1;;;1;;1;6;2;;;;;;;;;;3;;;;;;23;;;;;1;;;;15;;;1;;;1;;;;;;2;;;;;;;2;;2;;;3;2;;;2;;;;1;1;5;;;;;;;;;;;1;;1;;;;;;1;;;;;1;;;541;1;;;;;;;5;;;;;;;1;;;;;;;;;;2;;;;1;;;;3
478900;3840.3;;6;;;4;;;;;;6;;;;;;;1;;7;;;;;;;1;;2;;6;2;;;2;;39;;;;;;;;;10;1;1;;;;;;;;;1;1;;;;;;;;2;;;;1;2;;;;;;1;;;1;;;;1;;;;;;;1;;2;;;;;3;;;;1;;;;;704;2;;;;;;;;;;;;;1;4;;;3;;;;;;2;;;;;;;1;;9
478901;4092.7;;6;1;;;;;;4;;10;;;;;;;;;3;;;;;;;;;;1;2;1;;;2;;21;;;;1;;;;;15;;;;;;;;;;;;1;;;;;;;2;1;;;;2;;;;;;;;;;2;;;;;;;;;;;2;1;;1;;;;1;1;;;;;;;;677;;;;;1;;;;;;;;1;;;;;3;;;;;;;2;;;;;;;2;1
478902;4306.4;;;;;;;;;2;1;3;;;;;;3;;;1;;;;;;;;;1;3;;;;;2;;5;;;;;;;;;13;;;;1;;1;;;;;;1;;;;1;;;1;2;;;;9;1;;;3;;;;;2;8;;;;;;;3;;;;;;;2;;;;;6;;;;1;;;;502;1;;;1;;;;3;;;;;;;1;1;;;;;;;;;15;;;;1;;;3;
478903;4529.8;;1;;;;;;;7;;5;;1;;;;;;;2;;;;;;;2;;;2;3;;;;2;;9;;;;1;;;;;23;;;;;;1;;;;;;;;;1;;;;3;2;1;;;6;1;;;2;;;;;;5;;;;;1;;;;;;1;;1;5;;;;2;2;;;;;;;;655;1;;;;;;;;;;;;1;1;2;1;;3;1;;;;;;19;;;;;;;;
478904;4734.6;;3;;;;;;;;;4;;;;;;;;;;;;;;;;;;;2;2;;;;;;6;;;;;3;;;;18;;;;;;1;;;;;;1;;;1;;;;1;;;;;5;1;;;2;;;;;;4;;;;;;;;;;;;;;;;1;;;;;;;;;;;682;;1;;;;;;;;;;;;;;;;1;1;;;;;;49;;;;;;;;1
478905;4921.1;;4;1;;1;;;;3;;1;;;;;;;;;2;;;;;;;1;;;1;;1;;;1;;;;;;;1;;;;18;;;;;;1;;;;1;;2;;;;;;;1;2;;;;6;;;;3;1;;;;;1;;;2;;1;;1;;;;;;;1;;;;;3;;;;1;;;;501;;;;;;;;;;;;;;;1;;;1;;;;;;;58;;;;;;;2;2
478906;5107.6;;3;;;;;;;8;1;4;;;;;;;;;2;;;;;;;;;;3;3;;;;;;3;;;;;1;;;;7;;;;1;;;;;;;1;3;;;;;;;1;3;;;;1;1;;;;;;;;;1;;;1;;;;;;;;;1;;2;;;;1;2;;1;;;;;;630;;;;;;;;;;;;;;1;5;;;;;;;;;;64;;;;;;;1;
478907;5294.1;;2;;;3;;;;1;;1;;;;;;;;;1;;;;;;;;;;1;;3;;;1;;9;1;;;;;;;;16;;;;;;;;;;;1;3;;;;;;;1;3;;;;4;;;;;;;;;;;;;3;;3;;;;;;;;;1;;;;;1;;;;;;;;597;;;;;;;;;;;;;;;;;;;;;;;;;96;;;;;;;1;
478908;5497.6;;;;;;;;;2;;;;;;;;;;;2;;;;;;;;;;4;2;;;;1;;1;;;;;;;;;8;;;;;;2;;;;;;;;;;;;;;3;2;;;7;1;;1;1;1;;;;;5;;;1;;1;;2;;;;;;1;3;;;;1;3;;;;;;;;430;1;;;;;;;1;;;1;;2;;1;;;2;;;;;;;87;;;;;;;;1
478909;5684.1;;2;;;2;;;;4;;4;;;;;1;;;;1;;;;;;;;;1;3;;1;;;;;7;1;;;;;;;;14;;;;;;1;;;;;1;5;;;;;;;2;2;2;;;7;1;;;;2;;2;;;4;1;;;;;;6;;;;;1;;1;;;;;3;;;;1;;;;611;;;;;;;;;;;;;;;2;;;6;;;;;;;137;1;;;;;;;2
478912;5862.1;;1;;;3;;1;1;4;;2;;;;;;;;;3;;;;;;;;;;2;;1;;;;;5;;;;;;;;;5;;;;;;1;;;;1;;1;;;;;;;2;2;1;;;8;;;;;3;;;;;3;3;;1;;;;1;;;1;;;1;3;;;;2;4;;;;1;;;;551;;;;;;;;2;;;;;;;2;;;;;;;;;;155;;;;;;;;1
478911;6023.2;;3;1;;;;;;4;1;;;;;;;;;;1;;;;;;;;;2;3;;;;;;;;;;;;;;;;10;;;;;;;2;;;1;;1;;;;;;;;2;3;;;9;;;1;;4;;;;;;;;3;;1;;5;;;;;;;2;;;;1;4;;;;2;;1;;481;;;;;;;;;;;;;;;3;;;1;;;;;;;188;;;;;;1;;1
478910;6192.7;;3;;;3;;;;4;;4;;;;;;;;;3;;;;;;;;;;3;1;2;;;;;7;;;;;2;;;;9;;;;;;1;;;;;;2;;;;;1;;;2;1;;;13;;;;;7;;1;;1;1;1;;4;;;;5;;;;;;;1;;1;;1;7;;;;;;;;555;;;;;1;;1;;;;;;;;3;;;4;1;;;;;;210;;;;;;;;2
478913;6382.3;1;4;;;1;;;;3;;3;;;;;;;;;;;;;;;;;;1;2;;2;;;1;;8;;;;1;;;;;14;;;;;;;;;;;;1;;;;;;;;3;1;;1;16;;;;;5;;;;1;2;1;1;2;;1;;6;;;;;;1;;1;1;;2;4;;;;;;;;570;1;;;;;;;;;;;;1;;2;;1;5;;;;;;;157;;;;;;;;1
478914;6665.9;;3;;;1;;;;6;1;1;;;;;;;;;;;;;1;;;;;1;3;;;;;1;;2;;;;;;;;;10;;;;;;;;;;;;;;;;;;1;1;5;2;;;10;;;;;1;;2;;;4;1;;2;;;;1;1;;;;;;1;;;;1;3;;2;;;;;;445;;;;1;;;;;;;;;1;;1;;;3;;;;;;;169;1;;;;;;1;
478915;6881.4;1;7;1;;3;;;;1;;2;;;;;;;;;2;;;;1;;;;;1;2;;;;;1;;7;;;;1;;1;;;17;;;;;;1;;;;;;1;;;;;;;;3;2;;;12;1;;;;8;;;;;4;;;1;;1;;4;;;;;;;;1;;;3;6;;;;;;;;607;1;;;;;;1;1;;;;;;;3;;;3;;;;;;;158;;;;;;;;2
478916;7176.3;;6;1;;1;;;;3;;1;;;1;;;;;;2;;;;;;;;;;4;;1;1;;;;7;;;;;;;;;17;;;;;;1;;;;3;;1;;;;;;;2;3;;1;;10;;;1;;7;;1;;;1;;;1;;4;;4;;;;;1;;;;;;1;9;;1;;;;;;520;;;;;;;;3;;;;;;;;;;4;;;;;;;149;;;;;;1;1;
478917;7403.1;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;1;5;;1;;;;;;;;;;;;;;6;;;;;;1;1;;;;;;;;;;;;;5;3;;;7;;;;;3;;;;;1;;;3;;2;;2;;;;;;1;;2;;;;4;;1;;1;;1;;429;1;;;;;;;;;;;;1;;;;;1;;;;;;;103;;;;;;;1;
478918;7698;;4;;;1;;;;5;;1;;;1;;;;;;;;;;;;;;;;3;;;;;;;1;;;;1;1;;;;6;;;;;;;;;;1;1;1;;1;;;;;1;;;;;10;;;1;;1;;1;;;1;;;3;;;;4;;;;1;;1;;1;;;1;3;;;;;;;;660;;;;;;;;1;;;;;;;3;;;1;;;;;;;125;;;;;1;;;1
478919;7913.5;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;2;;1;;;;;5;;;;;;;;;15;;;;;;;;;;1;2;2;;1;;;;;1;;;;;11;;;;;2;;;;;3;;;2;;1;;4;;;;;;;;;;;;4;;4;;;;;;622;;;;;;;;;;;;;;;7;;;3;;;;;;;99;;;;;;;;1
478920;8197;;3;;;1;;;;7;1;;;;;;;;;;1;;;;;;;;;;8;2;1;;;1;;2;;;;;1;;;;17;;;;;;1;;;1;5;1;;;;;;;;2;3;;2;;13;;;;;7;;1;1;;5;;;;;1;;6;;;2;;;;1;1;;;1;8;;1;;;;;;510;;;;;;;;;;;;;1;1;5;;;3;;;;;;;143;;;;;1;;;1
478921;8423.9;;;;;2;;;;7;;1;;;;;;;;;;;;;;;;;;;8;3;2;;;;2;;;;;;;;1;;17;;;;;1;;;;;8;1;;;;;;;;;2;3;;;12;;;1;;2;;;;1;1;;;2;;1;;10;;;;;;1;;;;;2;5;;2;;;;;;607;;;;;;;;;;;;;;;3;;;2;;;;;;;182;;;2;;;;;
478922;8639.4;;;;;5;;;;4;;1;;;;1;;;1;;2;;;;;;;;;;8;;1;;;;;7;;;;;;;1;;5;;;;;;;;;;7;1;2;;1;;;;;;2;;;;12;;;;;3;;1;;1;2;;;;;5;;3;;;1;;;1;;;;;1;10;;;;1;;;;459;;;;;;;;;;;;;;;11;;;2;;;;;;;121;1;;;;;;1;1
478923;8786.8;;;;;3;;;;14;1;;;;1;;;1;;;3;;;;;;;;;;9;3;;;;1;;;;;;;1;;;;9;;;;;;;;;;5;;1;;;;;;;3;5;5;;;6;;;;;1;;6;;1;2;;;;;5;;3;;;;;;1;;;1;;;6;;;;;;;;427;;;;;;;;2;;;;;;;1;;;2;;;;;;;102;;;;;;;;
478924;8991;;4;;;9;2;;;12;;;;;1;;;;;1;4;;;;;;;;;1;9;;1;;;1;1;8;;;;;1;;;1;17;;;;;;1;;;;2;;3;;;;;;;1;2;2;1;;6;1;;;;10;;4;;;1;;;;;7;;4;;;;1;;;;;;;1;11;;6;;1;1;;;477;;1;;;1;2;;;;;;;1;;;;;5;;;;;;;166;;;;;;;;
478925;9138.4;;;;;3;1;;;5;;2;;;1;;1;;2;;9;;;;;;;;;1;16;;2;;;;;9;;;;;;;;;18;;;;1;;3;;;;11;3;4;;;;;;;;1;5;;;11;;;1;;16;2;1;;1;11;;;;;2;;3;;;1;;1;;;;;;1;16;;;;2;;;;560;;1;;;;;;1;;;;;1;;4;;;4;;;;;;;120;;1;;;;;;
