"name","group","element","units","context","S437858","S437859","S437860","S437861","S437862","S437863","S437864","S437865","S437866","S437867","S437868","S437869","S437870","S437871","S437872","S437873","S437874","S437875","S437876","S437877","S437878","S437879","S437880","S437881","S437882","S437883","S437884","S437885","S437886","S437887","S437888","S437889","S437890","S437891","S437892","S437893","S437894","S437895","S437896","S437897","S437898","S437899","S437900","S437901","S437902","S437903","S437904","S437905","S437906","S437907","S437908","S437909","S437910","S437911","S437912","S437913","S437914","S437915","S437916","S437917","S437918","S437919","S437920","S437921","S437922","S437923","S437924","S437925","S437926","S437927","S437928","S437929","S437930","S437931","S437932","S437933","S437934","S437935","S437936","S437937","S437938","S437939","S437940","S437941","S437942","S437943","S437944","S437945","S437946","S437947","S437948","S437949","S437950","S437951","S437952","S437953","S437954","S437955","S437956","S437957","S437958","S437959","S437960","S437961","S437962","S437963","S437964","S437965","S437966","S437967","S437968","S437969","S437970","S437971","S437972","S437973","S437974","S437975","S437976","S437977","S437978","S437979","S437980","S437981","S437982","S437983","S437984","S437985","S437986","S437987","S437988","S437989","S437990","S437991","S437992","S437993","S437994","S437995","S437996"
Celtis,TRSH,pollen,NISP,,,1,2,,,1,,,6,1,,,,2,2,,,4,,1,,,4,3,4,1,1,2,1,5,11,4,4,1,,3,2,,2,,1,1,3,4,3,1,,2,1,2,2,,4,1,2,3,1,1,2,1,3,,3,,4,2,7,4,1,2,,1,1,1,,1,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,1,,,,,,1,1,,,,,,1,,2,2
Cerastium afromontanum-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,2,,1,1,2,1,,1,,2,5,2,,,,,,,,,,,,,,,,,,,,,1,3,1,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,
Cerastium-type (C. octandrum),UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,1,,4,1,2,,1,,3,,1,,2,,3,,4,,,,2,,,,,1,,,,,,1,,,,,,,3,,,,,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,
Chenopodiaceae sensu stricto,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,16,10,,,,,,,,,,1,,,,,2,,,1,,,,,,,,,1,,,,,,,,1,,,,1,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Cichorieae,UPHE,pollen,NISP,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,1,,,3,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,2,3,,,,,
Cichorioideae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Clematis-type,UPHE,pollen,NISP,,2,1,,1,,1,,1,,,1,,2,,1,,,,,,1,,,3,1,1,,,,,,,,,,,,1,,1,2,,1,1,1,,,,1,1,,,1,,,,1,,1,,,,,,,,1,,1,,,1,,1,,,,1,,1,,,,1,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,2,,1,,,,,,,1,,
Cliffortia nitidula,TRSH,pollen,NISP,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,1,,,,3,2,2,,3,,4,1,,2,,7,7,4,2,1,3,1,3,2,,3,,,,,2,,1,2,3,,3,,,,4,7,6,1,,,6,,,2,,1,,1,4,,,6,3,,,,8,1,5,1,2,3,1,2,6,4,4,13,29,25,25,34,34,14,33,10,10,1,2,4,1
Clutia,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,1,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Combretaceae,TRSH,pollen,NISP,,,1,1,,,,,,1,,,,,,,1,,,,,,2,3,,1,1,,,,,,,,1,,,2,,1,,,1,,1,,,1,,1,,3,2,1,,,2,,,1,1,2,,1,,,,1,1,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,
